Training_epoch_loss, Validation_epoch_loss, Training_epoch_accuracy, Validation_epoch_accuracy
Training_epoch_loss, Validation_epoch_loss, Training_epoch_accuracy, Validation_epoch_accuracy
0.47554219714042195, 0.40394036228513897, 0.7878958216226344, 0.8
0.28899239214165096, 0.3661106643382083, 0.8566610455311973, 0.8262172284644195
0.2510546682723926, 0.2597369692242994, 0.8817687839610268, 0.8749063670411985
0.23433950354172559, 0.3031121207477895, 0.8896383736181375, 0.8554307116104869
0.21423771056769633, 0.23215970858540874, 0.903129098744613, 0.8891385767790263
0.21673346276075509, 0.21623894874606464, 0.9057522952969833, 0.89812734082397
0.18727125490340113, 0.5445388023406685, 0.9199925051527075, 0.7767790262172285
0.17038019836140547, 0.22287588928048307, 0.9272999812628817, 0.8906367041198502
0.16229966811193858, 0.1992832397909535, 0.9332958590968709, 0.9093632958801499
0.12959304994184379, 0.2671708618838354, 0.9514708637811504, 0.8913857677902622

Training complete in 24m 18s
Best val Acc: 0.909363
confusion_matrix:  tensor([[198.,  15.],
                           [ 19.,  52.]])
tensor([0.9296, 0.7324])
accuracy over all:  0.8802816901408451
